,DAY,SKU,Location,Alley,AlleyCell,Max,Min,WEEK-1,WEEK-2,WEEK-3,WEEK-4,WEEK-5
6155,TUE,295213,A0715303,A07,A0715,266.0,200.0,1.0,1.0,0.0,1.0,0.0
6156,TUE,295636,A0810403,A08,A0810,720.0,540.0,2.0,3.0,2.0,0.0,1.0
6157,TUE,295637,A0810404,A08,A0810,2400.0,1800.0,0.0,1.0,0.0,0.0,0.0
6158,TUE,295639,A0810502,A08,A0810,288.0,216.0,1.0,0.0,0.0,0.0,0.0
6159,TUE,295644,A0811103,A08,A0811,2400.0,1800.0,0.0,2.0,0.0,0.0,1.0
6160,TUE,295645,A0811104,A08,A0811,800.0,600.0,1.0,0.0,0.0,0.0,0.0
6161,TUE,295705,A0209202,A02,A0209,45.0,34.0,0.0,0.0,0.0,1.0,0.0
6162,TUE,295789,A0334308,A03,A0334,800.0,600.0,0.0,3.0,2.0,2.0,0.0
6163,TUE,295790,A0334401,A03,A0334,800.0,600.0,0.0,0.0,0.0,0.0,2.0
6164,TUE,295791,A0307103,A03,A0307,800.0,600.0,0.0,1.0,0.0,7.0,16.0
6165,TUE,295792,A0412403,A04,A0412,800.0,600.0,6.0,11.0,11.0,3.0,10.0
6166,TUE,295842,A0206505,A02,A0206,165.0,124.0,5.0,10.0,53.0,21.0,27.0
6167,TUE,296827,A0533103,A05,A0533,160.0,120.0,1.0,0.0,0.0,0.0,0.0
6168,TUE,297098,A0107203,A01,A0107,72.0,54.0,0.0,1.0,0.0,0.0,0.0
6169,TUE,298646,A0532401,A05,A0532,120.0,90.0,1.0,0.0,3.0,0.0,1.0
6170,TUE,298708,A0740502,A07,A0740,72.0,54.0,0.0,0.0,1.0,0.0,0.0
6171,TUE,299104,A0521503,A05,A0521,615.0,461.0,0.0,0.0,0.0,0.0,1.0
6172,TUE,299219,A0319403,A03,A0319,320.0,240.0,1.0,0.0,0.0,0.0,0.0
6173,TUE,299609,A0228506,A02,A0228,144.0,108.0,1.0,0.0,0.0,0.0,2.0
6174,TUE,299865,A0412501,A04,A0412,120.0,90.0,0.0,1.0,1.0,0.0,0.0
6175,TUE,299895,A0306401,A03,A0306,256.0,192.0,0.0,1.0,2.0,0.0,0.0
6176,TUE,299903,A0311105,A03,A0311,120.0,90.0,2.0,1.0,6.0,0.0,0.0
6177,TUE,299978,A0621103,A06,A0621,100.0,75.0,0.0,0.0,0.0,1.0,0.0
6178,TUE,300370,A0525102,A05,A0525,40.0,30.0,0.0,0.0,0.0,0.0,1.0
6179,TUE,300516,A0602204,A06,A0602,30.0,23.0,1.0,0.0,0.0,0.0,0.0
6180,TUE,300549,A0722304,A07,A0722,140.0,105.0,0.0,1.0,0.0,0.0,0.0
